2022-06-18 11:27:38.896 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.36]
2022-06-18 11:27:39.114 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-06-18 11:27:39.114 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3622 ms
2022-06-18 11:27:39.219 [main] INFO  com.lckp.jproxy.controller.FormatController - 开始初始化规则
2022-06-18 11:27:39.220 [main] INFO  com.lckp.jproxy.interceptor.ApiProxy - 初始化动漫规则完毕
2022-06-18 11:27:39.220 [main] INFO  com.lckp.jproxy.interceptor.ApiProxy - 初始化电视剧规则完毕
2022-06-18 11:27:39.221 [main] INFO  com.lckp.jproxy.controller.FormatController - 初始化规则完毕
2022-06-18 11:27:39.635 [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2022-06-18 11:27:39.982 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2022-06-18 11:27:40.233 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Initializing ExecutorService 'taskScheduler'
2022-06-18 11:27:40.318 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8117"]
2022-06-18 11:27:40.378 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8117 (http) with context path ''
2022-06-18 11:27:40.379 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2022-06-18 11:27:40.411 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2022-06-18 11:27:40.538 [main] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2022-06-18 11:27:40.705 [http-nio-8117-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-06-18 11:27:40.706 [http-nio-8117-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-06-18 11:27:40.719 [main] INFO  com.lckp.jproxy.Application - Started Application in 7.178 seconds (JVM running for 7.763)
2022-06-18 11:27:40.722 [http-nio-8117-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 16 ms
2022-06-18 11:27:47.428 [http-nio-8117-exec-8] INFO  org.springframework.boot.SpringApplication - The following profiles are active: prod,format,format-custom
2022-06-18 11:27:47.524 [http-nio-8117-exec-8] INFO  org.springframework.boot.SpringApplication - Started application in 0.455 seconds (JVM running for 14.567)
2022-06-18 11:27:47.543 [http-nio-8117-exec-8] INFO  com.lckp.jproxy.controller.FormatController - 开始初始化规则
2022-06-18 11:27:47.543 [http-nio-8117-exec-8] INFO  com.lckp.jproxy.interceptor.ApiProxy - 初始化动漫规则完毕
2022-06-18 11:27:47.544 [http-nio-8117-exec-8] INFO  com.lckp.jproxy.interceptor.ApiProxy - 初始化电视剧规则完毕
2022-06-18 11:27:47.544 [http-nio-8117-exec-8] INFO  com.lckp.jproxy.controller.FormatController - 初始化规则完毕
2022-06-18 11:27:54.220 [http-nio-8117-exec-9] INFO  com.lckp.jproxy.controller.FormatController - 精确匹配测试：{"example1":"test","example2":"[OPFans楓雪動漫][ONE PIECE 海賊王][第995話][1080p][周日版][MKV]","match":"\\[Skymoon-Raws\\]\\[(.*) ([^ ]*)\\]\\[(\\d+)](.*)","replace":"[Skymoon-Raws] $2 / $1 $3 $4","seriesType":"ANIME"}
2022-06-18 11:28:12.181 [http-nio-8117-exec-1] INFO  org.springframework.boot.SpringApplication - The following profiles are active: prod,format,format-custom
2022-06-18 11:28:12.283 [http-nio-8117-exec-1] INFO  org.springframework.boot.SpringApplication - Started application in 0.446 seconds (JVM running for 39.326)
2022-06-18 11:28:12.299 [http-nio-8117-exec-1] INFO  com.lckp.jproxy.controller.FormatController - 开始初始化规则
2022-06-18 11:28:12.299 [http-nio-8117-exec-1] INFO  com.lckp.jproxy.interceptor.ApiProxy - 初始化动漫规则完毕
2022-06-18 11:28:12.299 [http-nio-8117-exec-1] INFO  com.lckp.jproxy.interceptor.ApiProxy - 初始化电视剧规则完毕
2022-06-18 11:28:12.299 [http-nio-8117-exec-1] INFO  com.lckp.jproxy.controller.FormatController - 初始化规则完毕
2022-06-18 11:28:14.475 [http-nio-8117-exec-3] INFO  com.lckp.jproxy.controller.FormatController - 精确匹配测试：{"example1":"test","example2":"[OPFans楓雪動漫][ONE PIECE 海賊王][第995話][1080p][周日版][MKV]","match":"\\[Skymoon-Raws\\]\\[(.*) ([^ ]*)\\]\\[(\\d+)](.*)","replace":"[Skymoon-Raws] $2 / $1 $3 $4","seriesType":"ANIME"}
2022-06-18 11:28:19.811 [http-nio-8117-exec-4] INFO  com.lckp.jproxy.controller.FormatController - 精确匹配测试：{"example1":"good","example2":"[OPFans楓雪動漫][ONE PIECE 海賊王][第995話][1080p][周日版][MKV]","match":"\\[Skymoon-Raws\\]\\[(.*) ([^ ]*)\\]\\[(\\d+)](.*)","replace":"[Skymoon-Raws] $2 / $1 $3 $4","seriesType":"ANIME"}
